InternalName,MP3,FLAC,WAV
album,TALB,album,album
albumartist,TPE2,album_artist,
artist,TPE1,artist,artist
bpm,TBPM,bpm,
color,COLOR,color,
comment,COMM,comment,comment
composer,TCOM,composer,
contentgroup,TIT1,contentgroup,
copyright,TCOP,copyright,copyright
date,TDRC,date,date
discnumber,TPOS,disc,
genre,TCON,genre,genre
grouping,GRP1,grouping,
initialkey,TKEY,initialkey,
isrc,TSRC,isrc,
key,KEY,key,
label,LABEL,label,
lyricist,TEXT,lyricist,
mixartist,TPE4,mixartist,
organization,ORGANIZATION,organization,
origartist,TOPE,origartist,
originaldate,ORIGINALDATE,originaldate,
originalyear,ORIGINALYEAR,originalyear,
origyear,TDOR,origyear,
publisher,TPUB,publisher,
rating,POPM,rating,
rbxid,RBXID,rbxid,
releasedate,RELEASEDATE,releasedate,
releasetime,TDRL,releasetime,
remixer,REMIXER,remixer,
subtitle,TIT3,subtitle,
title,TIT2,title,title
tracknumber,TRCK,track,track
version,VERSION,version,
